magic,control,drop_0.8,drop_0.9,drop_0.95,drop_0.99,flip_0.9,flip_0.95,drop_0.9_r2,drop_0.9_reg0.05,drop_0.9_reg0.3,raw_control,raw_drop_0.9
0,0.9533882783882783,0.9576007326007326,0.9576007326007325,0.9576312576312576,0.9574023199023199,0.9581959706959707,0.9584554334554335,0.9581959706959706,0.9581349206349207,0.9569597069597069,0.9513278388278388,0.9545177045177046
1,0.9329757891510879,0.9336959852896108,0.9333358872203493,0.9332745939319644,0.9333205638982531,0.9323168863009499,0.932646337726019,0.9343395648176525,0.9337802635611401,0.9356267238737358,0.9237358259270609,0.9283941158443151
2,0.936804506113477,0.9463830501747799,0.946627283967578,0.9465585932133534,0.946764665476027,0.9471004869411243,0.9470928546350994,0.9463296240326051,0.9473370884278977,0.943429347743127,0.9320877409900628,0.9369876814580758
3,0.9472333711204387,0.9493933637672723,0.9493933637672723,0.9493933637672723,0.9493933637672723,0.9491176200251235,0.9491176200251235,0.9496614479610281,0.9495695333803118,0.9469040105395385,0.9439474248598302,0.9466972027329269
4,0.954909590295262,0.9550621805142291,0.9551461051346608,0.954886701762417,0.9553063248645761,0.952567330434119,0.9529411764705883,0.9552834363317311,0.9552681773098345,0.9557335774776836,0.9333333333333332,0.932753490501259
5,0.9638039431117622,0.9618201794543125,0.961911737776964,0.961911737776964,0.961911737776964,0.9618278093145333,0.9618583287554172,0.9619575169382898,0.9609045962277971,0.9613471281206128,0.9633766709393884,0.9649331624244644
6,0.9479419990272374,0.9475696133268484,0.947554413910506,0.947524015077821,0.9478280034046692,0.9491047543774318,0.949104754377432,0.947524015077821,0.9473188229571985,0.9493859435797666,0.9409502675097277,0.9406462791828794
7,0.9573381964686314,0.9541105193279106,0.9541257802127366,0.9540799975582583,0.9540647366734323,0.9541410410975628,0.9541410410975629,0.9540952584430846,0.9550414333023028,0.9507378637813421,0.9484639919422528,0.9487844705236009
8,0.9614997253250321,0.9627510224012696,0.9629417689067936,0.9630791063907709,0.9629799182078984,0.9623237502288958,0.9626823536592809,0.9629799182078985,0.962483977293536,0.9631477751327595,0.957425379967039,0.9593633644631631
9,0.9486357809924922,0.9502151620582312,0.9502456814991149,0.9500015259720441,0.9495742537996704,0.9506958432521517,0.9503372398217664,0.950260941219557,0.9499023377891718,0.9502075321980101,0.9389000793505462,0.9404718305560642
