magic,baseline_final,baseline_level1,no_pseudo_final,no_pseudo_level1,p09_final,p09_level1,p099_final,p099_level1
0,0.9568833943833943,0.9568986568986569,0.9568833943833943,0.9568986568986569,0.9543192918192918,0.9581043956043956,0.9571886446886446,0.9574023199023198
1,0.939288997854735,0.9374195525589949,0.939288997854735,0.9374195525589949,0.9386760649708856,0.9367759730309532,0.9376187557462458,0.9373122893043212
2,0.9371403275785746,0.9306681320694234,0.9371403275785746,0.9306681320694234,0.9393079024896582,0.9326220024118086,0.9326372670238585,0.9316298026285661
3,0.9487729403474371,0.945586568215938,0.9487729403474371,0.945586568215938,0.9491252795735163,0.9486963448635068,0.947302307055976,0.9470265633138271
4,0.9579156176089112,0.9553368429083695,0.9579156176089112,0.9553368429083695,0.9553215838864728,0.9540856031128404,0.954757000076295,0.9547264820325017
5,0.9694652993957151,0.9704724409448819,0.9694652993957151,0.9704724409448819,0.9703351034609047,0.9706097784288591,0.9700756882133919,0.9702130256973692
6,0.9419078307392995,0.9429413910505837,0.9419078307392995,0.9429413910505837,0.9409198686770427,0.9423334143968871,0.9427893968871595,0.9428349951361867
7,0.9599096555618295,0.9583072626550888,0.9599096555618295,0.9583072626550888,0.9603674821066126,0.9557739557739559,0.9589176980481329,0.9584751323881759
8,0.9580357687847159,0.9606604407007263,0.9580357687847159,0.9606604407007263,0.9608435573460293,0.960919855948239,0.9614844656045901,0.9615760239272417
9,0.9455075383018983,0.9437831898919612,0.9455075383018983,0.9437831898919612,0.9490020142830984,0.9434932552035648,0.9434932552035648,0.943065983031191
10,0.9405813687342642,0.9395284962233921,0.9405813687342642,0.9395284962233921,0.9427939269092851,0.9367818722819867,0.9387197680628672,0.9376974135957884
11,0.963897705078125,0.96270751953125,0.963897705078125,0.96270751953125,0.9642791748046875,0.9643402099609375,0.9637298583984375,0.963531494140625
12,0.9420166015625,0.93963623046875,0.9420166015625,0.93963623046875,0.9417572021484375,0.941070556640625,0.9392547607421875,0.9389801025390625
13,0.9507716261391218,0.952572850361008,0.9507716261391218,0.952572850361008,0.9528934072140558,0.952710231869457,0.9531681702309536,0.9533360809635023
14,0.9524822910649682,0.9477700422582312,0.9524822910649682,0.9477700422582312,0.9497157449913356,0.9479068494816526,0.9483476727571216,0.9483476727571215
15,0.9585564965285724,0.9571526665140764,0.9585564965285724,0.9571526665140764,0.9604028381780727,0.9575494010833906,0.9569848172732127,0.957122148470283
16,0.9419732160581491,0.9420495670896514,0.9419732160581491,0.9420495670896514,0.942568754103868,0.940629437903706,0.9425229434849665,0.9424924030723655
17,0.9434231087416123,0.9454913135398474,0.9434231087416123,0.9454913135398474,0.9468241566320434,0.947452278089285,0.9453687532555075,0.9460121947482918
18,0.9415274280918593,0.9417868314641032,0.9415274280918593,0.9417868314641032,0.9422751201647974,0.9438925764858472,0.9419089036392767,0.9424887464713512
19,0.9675911737664726,0.9688017162120748,0.9675911737664726,0.9688017162120748,0.9662427214220043,0.9679282868525896,0.968556543058535,0.9688936561446521
20,0.9515239477503628,0.9510808952715606,0.9515239477503628,0.9510808952715606,0.9550378122374149,0.9513711710335345,0.9517225574822398,0.9516308914521426
21,0.9357289997711147,0.9361104753185321,0.9357289997711147,0.9361104753185321,0.9367055771725032,0.9358358129243916,0.9361867704280156,0.9363393606469825
22,0.9545073023333892,0.9535153448196926,0.9545073023333892,0.9535153448196926,0.955224563920216,0.9529354311963008,0.9539731713644757,0.953271170662475
23,0.9416207107843136,0.9400428921568628,0.9416207107843136,0.9400428921568628,0.9392769607843137,0.9378063725490196,0.9395373774509804,0.9390012254901962
24,0.93951416015625,0.940185546875,0.93951416015625,0.940185546875,0.939239501953125,0.9404144287109375,0.9415130615234375,0.9419403076171875
25,0.9472069597069598,0.9495879120879122,0.9472069597069598,0.9495879120879122,0.9498473748473749,0.947924297924298,0.9493589743589743,0.9487332112332113
26,0.9547627071907839,0.9558656821593798,0.9547627071907839,0.9558656821593798,0.9552835564815099,0.9555133429333006,0.9561261068047427,0.9563865314501057
27,0.9610443115234375,0.9612579345703125,0.9610443115234375,0.9612579345703125,0.9594268798828125,0.957763671875,0.959869384765625,0.9597015380859375
28,0.9418783855954832,0.9404135194934005,0.9418783855954832,0.9404135194934005,0.9482413977264057,0.9429617761501488,0.9422598611429006,0.942046234836347
29,0.9414816510261692,0.9383840695811397,0.9414816510261692,0.9383840695811397,0.9403830014496071,0.9406576638437476,0.9388570992599374,0.9389639124132143
30,0.9277485313191425,0.925658045319295,0.9277485313191425,0.925658045319295,0.9275959411001755,0.925261310749981,0.9260547798886092,0.9258869306477454
31,0.9526793100278808,0.952740586415025,0.9526793100278808,0.952740586415025,0.9518214406078618,0.9526333527375226,0.9527099482214527,0.9526946291246668
32,0.935064935064935,0.9357669357669359,0.935064935064935,0.9357669357669359,0.9378729378729379,0.9359195446151968,0.9360416316938055,0.9360721534634578
33,0.9273026918146859,0.9272569126533602,0.9273026918146859,0.9272569126533602,0.9261276933406579,0.9291033388268327,0.927104315448941,0.9272569126533602
34,0.9505920097777099,0.9499656252387136,0.9505920097777099,0.9499656252387136,0.9493239630280346,0.9499961805820794,0.9486670231456726,0.9489878542510123
35,0.9569643047903917,0.9589024371633068,0.9569643047903917,0.9589024371633068,0.9601843514886994,0.9595586552108292,0.9582309582309582,0.9585209150426542
36,0.9482390282610024,0.9513062320698285,0.9482390282610024,0.9513062320698285,0.952206555575902,0.9519776597692731,0.950436428004639,0.9508789598974546
