group,noisy::lean|qda,noisy::-kpca|qda,noisy::-gmm|qda,noisy::-scaler|qda,noisy::-transductive|qda,noisy::raw|qda,noisy::raw|qda_reg0.5,noisy::raw|lda,noisy::raw|gmm_bayes_k1,noisy::raw|gmm_bayes_k3,noisy::lean|lda,flip_r1::lean|qda,flip_r1::-kpca|qda,flip_r1::-gmm|qda,flip_r1::-scaler|qda,flip_r1::-transductive|qda,flip_r1::raw|qda,flip_r1::raw|qda_reg0.5,flip_r1::raw|lda,flip_r1::raw|gmm_bayes_k1,flip_r1::raw|gmm_bayes_k3,flip_r1::lean|lda,flip_r2::lean|qda,flip_r2::-kpca|qda,flip_r2::-gmm|qda,flip_r2::-scaler|qda,flip_r2::-transductive|qda,flip_r2::raw|qda,flip_r2::raw|qda_reg0.5,flip_r2::raw|lda,flip_r2::raw|gmm_bayes_k1,flip_r2::raw|gmm_bayes_k3,flip_r2::lean|lda,flip_r3::lean|qda,flip_r3::-kpca|qda,flip_r3::-gmm|qda,flip_r3::-scaler|qda,flip_r3::-transductive|qda,flip_r3::raw|qda,flip_r3::raw|qda_reg0.5,flip_r3::raw|lda,flip_r3::raw|gmm_bayes_k1,flip_r3::raw|gmm_bayes_k3,flip_r3::lean|lda
0,0.9598595848595849,0.9530982905982905,0.9527014652014651,0.9600579975579975,0.9493894993894993,0.9533577533577534,0.9486568986568986,0.819932844932845,0.9534645909645909,0.9428418803418803,0.9478937728937729,0.9623015873015874,0.9572268009768009,0.9575854700854701,0.9612026862026861,0.9543040293040292,0.9567307692307692,0.9503510378510378,0.826037851037851,0.9568986568986568,0.9563186813186813,0.9453907203907204,0.962202380952381,0.9571123321123322,0.95746336996337,0.9614163614163613,0.9538614163614164,0.9562881562881562,0.9501221001221001,0.8246489621489622,0.9563949938949938,0.954174297924298,0.9453907203907204,0.96243894993895,0.9571581196581197,0.9572802197802197,0.9612332112332113,0.9542124542124542,0.9562423687423688,0.9494810744810744,0.8246794871794872,0.9563797313797313,0.950442612942613,0.9443223443223443
1,0.9367146797425682,0.9373429359485137,0.9208550413729697,0.936362243334355,0.9285933190315661,0.9192001225865767,0.918219429972418,0.7753754213913575,0.919215445908673,0.9247165185412198,0.9381550720196139,0.9388905914802329,0.9422770456634999,0.9300950045969967,0.9432117683113699,0.9355654305853508,0.9271069567882317,0.925927060986822,0.7840177750536315,0.9268004903463072,0.935642047195832,0.943885994483604,0.941556849524977,0.943012565124119,0.9318571866380632,0.9446215139442231,0.9367453263867608,0.9281029727244867,0.9264940239043826,0.7820717131474103,0.927781182960466,0.9371590560833589,0.943748084584738,0.941556849524977,0.9436101746858718,0.930784554091327,0.944345694146491,0.935044437634079,0.9278271529267546,0.9263561140055164,0.7816273368066196,0.9276126264174074,0.9358872203493718,0.9437634079068342
2,0.9383462319305155,0.9388346995161118,0.9296454030620811,0.9406511883500481,0.9291111416403353,0.9327593839202577,0.9292179939246843,0.7892567660392912,0.9326067377997587,0.925417105524263,0.9423302956755353,0.947153913083299,0.952443101158584,0.938163056585917,0.9449100151119658,0.9374456198195723,0.9408190990825969,0.9359802170627833,0.801453191067149,0.9410022744271954,0.935232251072339,0.9446963105432675,0.9472149715314985,0.9525117919128084,0.9380409396895178,0.9451542489047642,0.9372624444749738,0.9410328036512953,0.9357359832699853,0.8014226618430493,0.9410938620994947,0.9388957579643114,0.9448794858878663,0.9471691776953488,0.9527789226236817,0.9375677367159714,0.9444215475263696,0.9369113583978264,0.9403001022729007,0.9355986017615362,0.8008578711972035,0.9404527483933995,0.9403687930271253,0.9436735815359253
3,0.9472257115720457,0.9395355249854468,0.9408529673090474,0.9370997885964643,0.9433346609883881,0.9453108244737891,0.9452495480866449,0.8392720365207268,0.9452801862802169,0.9452189098930728,0.9442691258923375,0.9489644290572629,0.948458898863323,0.9437789147951837,0.9500291062838935,0.9457857164741567,0.9462223107325592,0.9469652869266828,0.84993412788382,0.9459848647323754,0.9452342289898588,0.950764422929624,0.9492171941542327,0.9486274089279696,0.9437329575048256,0.950427402800331,0.9456938018934404,0.9462835871197034,0.9469346487331106,0.8498268942063175,0.9460001838291614,0.9469652869266827,0.9502588927356843,0.9492171941542327,0.9486274089279696,0.9437329575048256,0.950427402800331,0.9456938018934404,0.9462835871197034,0.9469346487331106,0.8498268942063175,0.9460001838291614,0.9469652869266827,0.9502588927356843
4,0.9539635309376668,0.9513313496604867,0.9285877775234608,0.955168993667506,0.9278858625162127,0.930540932326238,0.9284504463263905,0.7197680628671702,0.9302204928664073,0.9428397039749753,0.9566948958571756,0.9527275501640344,0.9513771267261768,0.9287098496986343,0.9555199511711299,0.9282673380636302,0.9309834439612421,0.9287098496986345,0.720332646677348,0.9309224078736553,0.9459067673762112,0.9551232166018158,0.9530632486457618,0.9522545204852368,0.9291065842679485,0.9553826199740596,0.928679331654841,0.9324025329976349,0.930128938735027,0.718776226443885,0.9319295033188372,0.9425650415808347,0.9547875181200886,0.9525978484779125,0.9526665140764478,0.928923476005188,0.9552910658426795,0.9288471808957045,0.9325551232166018,0.930388342107271,0.7191119249256124,0.9323567559319449,0.9476768139162279,0.954406042572671
5,0.9636971250686689,0.9712277971067571,0.958981871452115,0.9637429042299945,0.9565708356222914,0.9631172556918758,0.961301348959287,0.8211865958615638,0.9630409570896661,0.9557620704388696,0.9664743941890984,0.9620414454007203,0.9678325093084296,0.959958493560398,0.9650704999084417,0.9583409631935543,0.9642769944454618,0.9608740767869133,0.8241775010681803,0.9642464750045779,0.9611334920344259,0.9662302386620277,0.962285600927791,0.9682750412012453,0.9591955075383019,0.9653146554355124,0.9571049258377587,0.9629951779283404,0.9607214795824941,0.8226820484648721,0.9629188793261307,0.9615760239272416,0.9664743941890985,0.9623466398095587,0.9683208203625709,0.9593023255813954,0.965604590123909,0.9576237563327841,0.9631630348532015,0.960538362937191,0.8230940609168039,0.9631782945736435,0.9593328450222791,0.9666269913935177
6,0.9473492217898833,0.9434733706225683,0.9437165612840467,0.9464676556420234,0.9427589980544746,0.9395519212062255,0.929535505836576,0.7658377918287937,0.9398559095330739,0.9380319795719844,0.9472276264591438,0.949180751459144,0.9533225924124515,0.9457532830739299,0.9492643482490273,0.9444309338521399,0.943914153696498,0.9366944309338522,0.7735590953307393,0.9443245379377432,0.9430325875486382,0.9500547178988327,0.9490819552529182,0.9541813594357976,0.9464068579766538,0.9494619406614786,0.9455100924124513,0.9438837548638133,0.936025656614786,0.7714007782101167,0.9440205496108949,0.941771035992218,0.9496747324902723,0.9489603599221791,0.9543789518482491,0.9459204766536964,0.9493555447470816,0.9450693093385214,0.9433365758754864,0.9356304717898832,0.7704280155642024,0.9435493677042801,0.9362992461089494,0.9498419260700388
7,0.9581775451340669,0.9536984754376058,0.9494254276862972,0.9556976513498253,0.9478230347795565,0.9480214262822959,0.9401468097120271,0.7918262700871396,0.9482808613243395,0.9470599905382514,0.954156301982389,0.9551635203809117,0.9508446899751247,0.9512872556350817,0.9503410807758633,0.9498069498069498,0.9514093427136905,0.9408182886443756,0.7988462771071467,0.9515161689074733,0.9508294290902987,0.9524318219970394,0.9551024768416072,0.9508141682054726,0.9508446899751248,0.9503105590062112,0.9494559494559495,0.9510507119202772,0.9409098539533323,0.79875471179819,0.9512109512109513,0.9534695621652144,0.9519739954522564,0.9552550856898684,0.9508294290902987,0.9508599508599509,0.9503716025455157,0.9495780365345582,0.9512567338654295,0.9411082454560715,0.7992277992277993,0.9513788209440385,0.9550261724174768,0.9522639522639522
8,0.9625526460355247,0.9539690532869438,0.9587682353659281,0.9619269974974058,0.9561893426112433,0.9579899896233901,0.9582646645913447,0.8332570347311237,0.9578679118598548,0.9566471342245011,0.9560520051272661,0.9591955075383019,0.9496352926814381,0.9586766770432766,0.9606451809802845,0.9559757065250564,0.9581425868278093,0.9579899896233902,0.8291521699322469,0.9581120673869256,0.950039675273149,0.952374412500763,0.9596685588720015,0.9499328572300555,0.9576847952145517,0.9619575169382897,0.9548922663736801,0.9577763535372034,0.9577916132576451,0.8289080144051763,0.9577916132576452,0.9554110968687054,0.9520234389305987,0.9601339803454801,0.950230421778673,0.9579747299029482,0.9624458279924313,0.9552127205029604,0.9578373924189708,0.9575321980101325,0.8287706769211988,0.9577610938167612,0.9519624000488313,0.9511688945858512
9,0.9469495818836601,0.9398004028566197,0.9410059207715316,0.9480101324543735,0.9424861136543978,0.9385338460599403,0.9359244338643716,0.8164255630836844,0.9384728071781726,0.9393731306842459,0.9399835195019228,0.9516495757797717,0.9484374046267472,0.9456753952267595,0.95219129585546,0.9473234450344871,0.9414026735030215,0.939342611243362,0.8282060672648477,0.9416926081914179,0.9434016968809131,0.9410669596532991,0.951626686199109,0.9467893548190197,0.9465604590123909,0.9520386986510408,0.9483916254654214,0.9423029970090948,0.9400445583836904,0.8292284685344566,0.9423640358908625,0.9468656534212293,0.9411890374168346,0.9516724653604346,0.94671305621681,0.9468046145394616,0.9521455166941343,0.9483763657449796,0.9425166330952817,0.9402276750289934,0.8300524934383202,0.9425166330952817,0.9445461759140573,0.9413874137825795
