group,noisy::lean|qda,noisy::-kpca|qda,noisy::-gmm|qda,noisy::-scaler|qda,noisy::-transductive|qda,noisy::raw|qda,noisy::raw|qda_reg0.5,noisy::raw|lda,noisy::raw|gmm_bayes_k1,noisy::raw|gmm_bayes_k3,noisy::lean|lda,flip_r1::lean|qda,flip_r1::-kpca|qda,flip_r1::-gmm|qda,flip_r1::-scaler|qda,flip_r1::-transductive|qda,flip_r1::raw|qda,flip_r1::raw|qda_reg0.5,flip_r1::raw|lda,flip_r1::raw|gmm_bayes_k1,flip_r1::raw|gmm_bayes_k3,flip_r1::lean|lda,flip_r2::lean|qda,flip_r2::-kpca|qda,flip_r2::-gmm|qda,flip_r2::-scaler|qda,flip_r2::-transductive|qda,flip_r2::raw|qda,flip_r2::raw|qda_reg0.5,flip_r2::raw|lda,flip_r2::raw|gmm_bayes_k1,flip_r2::raw|gmm_bayes_k3,flip_r2::lean|lda,flip_r3::lean|qda,flip_r3::-kpca|qda,flip_r3::-gmm|qda,flip_r3::-scaler|qda,flip_r3::-transductive|qda,flip_r3::raw|qda,flip_r3::raw|qda_reg0.5,flip_r3::raw|lda,flip_r3::raw|gmm_bayes_k1,flip_r3::raw|gmm_bayes_k3,flip_r3::lean|lda,oracle::lean|qda,oracle::-kpca|qda,oracle::-gmm|qda,oracle::-scaler|qda,oracle::-transductive|qda,oracle::raw|qda,oracle::raw|qda_reg0.5,oracle::raw|lda,oracle::raw|gmm_bayes_k1,oracle::raw|gmm_bayes_k3,oracle::lean|lda
0,0.936415655756466,0.9313954375524528,0.9323720149538415,0.9356374456397345,0.9331960021362631,0.924605172808423,0.9207141222247653,0.7725795376516366,0.9244983596551462,0.91713588158999,0.9387045090409705,0.9341725795376516,0.9326390478370337,0.9321278706034943,0.9360036621652551,0.932494087129015,0.9230792706187534,0.9208972304875257,0.7795071335927367,0.9230029755092699,0.9320668345159074,0.9378042267490654,0.9325856412603952,0.932845044632639,0.9323720149538415,0.935912108033875,0.9315632867933166,0.9231097886625468,0.9205157549401083,0.7795986877241169,0.9231708247501335,0.9345998321507591,0.9370412756542306,0.9323872739757382,0.9327229724574656,0.9322041657129778,0.9357137407492179,0.9314564736400397,0.9230182345311666,0.9207446402685588,0.778088044556344,0.9230182345311665,0.9311665522240025,0.9367513542381933,0.9331807431143663,0.9329060807202258,0.9332417792019531,0.9366140230411231,0.9331807431143663,0.9238727397573815,0.9215075913633937,0.7799496452277409,0.9240863660639352,0.92988479438468,0.9384145876249332
1,0.965273951637588,0.9558157330884605,0.9514080195898378,0.9598561371288644,0.9506427915518825,0.9488062442607895,0.9436792164064891,0.7627640036730946,0.948989898989899,0.9444444444444444,0.9583256810529538,0.9618533823079278,0.9559458218549128,0.9536271808999082,0.960361187633915,0.952310988674625,0.9497704315886133,0.9443373125191308,0.7692990511172331,0.9498316498316499,0.9456688093051729,0.9615396388123661,0.9617003367003367,0.9550964187327824,0.9519436792164064,0.9607897153351698,0.9510713192531374,0.9484389348025712,0.9435414753596573,0.7704162840526478,0.948714416896235,0.9484542393633303,0.9610651974288339,0.9614860728497091,0.9541628405264769,0.9514080195898377,0.960682583409856,0.9507346189164371,0.9477502295684114,0.9430670339761249,0.7677838996020814,0.9478114478114479,0.9436026936026936,0.9614631160085706,0.9623584328129783,0.9561906948270585,0.9549739822467095,0.9604224058769513,0.954331190694827,0.9515763697581879,0.9461432506887052,0.7707223752678297,0.9516681971227426,0.9533057851239669,0.961539638812366
2,0.9601480869551915,0.9585264736028883,0.9485673199014795,0.95733321094742,0.9466244435265502,0.9418819893830221,0.9338045190998515,0.7442134410329373,0.9420502700139215,0.9480012850520906,0.9634066118989705,0.9577080178071504,0.9561475974115379,0.9482307586396805,0.962213349243502,0.9464714611348235,0.9441614270197499,0.9380727278290268,0.7447794758823261,0.9441920234980954,0.9622133492435021,0.9569354567289304,0.9578610001988771,0.955627457279667,0.9473587590068384,0.9621062615692935,0.9465173558523414,0.9422185506448209,0.9368488686952132,0.7470130188015359,0.9424327259932381,0.9465632505698593,0.9568130708155491,0.9577386142854957,0.955375036333318,0.9472057766151115,0.961754402068322,0.9461960928297154,0.9423103400798568,0.93723132467453,0.7470130188015359,0.9424327259932382,0.9471445836584209,0.9569354567289305,0.9579527896339132,0.9505790383526858,0.9478788991387092,0.9625958052228188,0.9472363730934569,0.9432282344302171,0.9382869031774442,0.7463092997995929,0.9433353221044257,0.9516881606927042,0.9583734912111616
3,0.9503624017700466,0.9544518196383611,0.9491264209964142,0.9411459525444419,0.9463340199893187,0.951796749828336,0.9448233768215457,0.7544823376821546,0.9520103761348897,0.9516289005874723,0.9404745555809872,0.9464484626535439,0.9499046311131456,0.944914930952926,0.9461051346608682,0.9450675211718929,0.9501487754634929,0.9448538948653391,0.7595483329518578,0.9500572213321127,0.946364538033112,0.9413443198290989,0.9466010528725108,0.9505302510109102,0.9459525444419014,0.9460898756389715,0.9463035019455253,0.9513084611276417,0.9452353704127566,0.759334706645304,0.9514000152590218,0.9436331731136035,0.9414206149385825,0.9464179446097505,0.950942244602121,0.945464255741207,0.9461356527046616,0.9455558098725871,0.950545510032807,0.9442740520332648,0.759487296864271,0.9507133592736705,0.9472648203250172,0.9419089036392767,0.9467765316243228,0.9514076447699702,0.9465629053177691,0.9459983215075913,0.946166170748455,0.9511100938429846,0.9453421835660334,0.7625543602655069,0.9512321660181582,0.950240329594873,0.9421683070115205
4,0.9544726240615272,0.9512833424891655,0.9381370933284502,0.9503601294024293,0.9365195629616065,0.9378013794787281,0.9336202160776415,0.7932155282915219,0.9378318989196119,0.941097479094183,0.9490325337239821,0.9523438930598793,0.9472776658731611,0.9382286516511018,0.9528627235549045,0.9347341756699018,0.9405481291582739,0.93583287554172,0.8063846670329001,0.9406854666422512,0.9471403283891839,0.951779283403528,0.9525880485869499,0.9474226332173594,0.9384575474577308,0.9530916193615333,0.9344442409815052,0.9412653360190442,0.9368857962522127,0.8077122627113471,0.9411890374168346,0.942844717084783,0.9522675944576695,0.9528169443935786,0.947888054690838,0.938594884941708,0.9531221388024171,0.934093267411341,0.9412348165781602,0.9368857962522127,0.8079106390770923,0.9411432582555087,0.9442409815052188,0.9526490874687176,0.9523133736189953,0.9463926020875298,0.9380455350057988,0.9525575291460662,0.9361075505096748,0.9409448818897638,0.9373283281450284,0.805423304645059,0.9408533235671123,0.9456830250869804,0.9502685710797777
5,0.9335378791348019,0.9255926485628369,0.9176016241547221,0.9296911968982308,0.9162430736822822,0.9174795072583232,0.9161514860099831,0.7755491444184945,0.917220008853475,0.9261040130665079,0.9337210544794005,0.9355986017615362,0.9329120300407565,0.9224557707865855,0.9360718047350827,0.9212193372105447,0.9223489185022363,0.9196776113935066,0.7873028956969059,0.9223489185022362,0.9336294668071011,0.9373998259834228,0.9366136984628536,0.9343926974095953,0.9228068568637326,0.9374150905954725,0.9221504785455877,0.9225626230709346,0.9202118728152526,0.7865396650944116,0.9225015646227351,0.9326067377997589,0.9367281830532278,0.936583169238754,0.9343774327975455,0.9230205614324312,0.9374150905954726,0.9220130970371387,0.9224710353986353,0.9202729312634519,0.7860054036726658,0.9224405061745357,0.9350643403397904,0.9369418876219261,0.9409412159789959,0.9339500236601487,0.9224863000106852,0.938544671887164,0.9221504785455877,0.9225778876829847,0.9200592266947536,0.7866770466028606,0.9223794477263361,0.9373235029231732,0.9369418876219261
6,0.957228557036223,0.9536261085924501,0.9237990566469753,0.9575949077254202,0.9216925401840913,0.9292179939246844,0.9265161575918549,0.7463174123429652,0.9291264062523851,0.932179328662362,0.9571064401398238,0.9632733434079773,0.9576407015615699,0.9318282425852147,0.9618079406511885,0.9320114179298133,0.9359802170627832,0.9313855688357681,0.7557356779777443,0.9358733647784342,0.9447573689914671,0.9602662148341501,0.9629222573308298,0.9538703423852483,0.9311871288791196,0.9614721191860909,0.9309886889224711,0.935491749477187,0.9304849567248249,0.755109828883699,0.9356596602097357,0.9420555326586375,0.9599303933690526,0.9628154050464808,0.9536947993466746,0.9300728121994779,0.9611820915571431,0.9303781044404756,0.9346064019782936,0.9298438430187297,0.7555830318572453,0.9346674604264932,0.9465127993772038,0.9590755750942589,0.9633038726320772,0.9513593137030422,0.9319198302575139,0.9620216452198869,0.9315992734044664,0.9365450077086291,0.9306986612935233,0.7554456503487965,0.936697653829128,0.9465585932133534,0.9596403657401047
7,0.9489364301311711,0.9542351917174401,0.9418357842014446,0.9543726235741445,0.9412555163620261,0.9433475346251927,0.9409043016171149,0.8116114648708903,0.9435002366881977,0.9484935941484571,0.9537007344969232,0.9559149144104937,0.9528837784598471,0.9459587399025762,0.9583123367996702,0.9456227953639654,0.9468749522806053,0.9420190266770504,0.8160398246980316,0.9467069800112999,0.9475010307389253,0.9594117916533054,0.954983431826164,0.953135736863805,0.9457602272206698,0.9574724754531433,0.9453021210316551,0.9469360331058072,0.9420342968833508,0.8162230671736375,0.9467986012491028,0.9467069800112999,0.9587399025760838,0.954983431826164,0.953135736863805,0.9457602272206698,0.9574724754531433,0.9453021210316551,0.9469360331058072,0.9420342968833508,0.8162230671736375,0.9467986012491028,0.9467069800112999,0.9587399025760838,0.9530822911417534,0.9580756486020127,0.9460503611403792,0.9547391085253563,0.9457296868080687,0.947302518057019,0.9426298349290698,0.8158718524287263,0.9473025180570189,0.9453326614442561,0.9584803090689756
8,0.9488941837732161,0.9485734359726294,0.9453965053763441,0.9458088954056696,0.9438080400782014,0.946878054740958,0.9406463831867058,0.6821542033235581,0.9471377077223851,0.9448619257087,0.943746945259042,0.9495280425219942,0.9484588831867058,0.9419599217986314,0.9490010997067448,0.9397605083088955,0.9436400293255133,0.9390426441837734,0.6885691593352883,0.9437316715542523,0.9422195747800587,0.9421126588465298,0.9505819281524927,0.9517121823069403,0.9433192815249268,0.9502993646138808,0.9413184261974584,0.9442357038123168,0.9392106549364615,0.6897757820136852,0.9444037145650049,0.9471529814271751,0.9431207233626588,0.9510172287390029,0.9523842253176931,0.9437163978494624,0.950635386119257,0.9416697214076246,0.9448161045943304,0.9396994134897361,0.6897452346041055,0.9450146627565982,0.9503299120234604,0.9437316715542522,0.9497724217986314,0.9502382697947214,0.9419751955034213,0.9501924486803519,0.9405852883675465,0.944403714565005,0.9405394672531769,0.692005742913001,0.9443273460410557,0.9497953323558161,0.9432887341153471
9,0.9456088053198808,0.9497057249866241,0.9462967209355652,0.9390353894366735,0.9465413131544754,0.9494611327677138,0.9470763586333409,0.7070396698005044,0.94943055874035,0.9431934571581442,0.9312084384315524,0.9457616754566995,0.9513720094779484,0.952044638079951,0.9418481999541388,0.9514484445463579,0.9529465718871819,0.950179622410762,0.7059542918290911,0.9527631277229993,0.9515401666284492,0.9271726668195368,0.9461897118397922,0.9499044561644882,0.9521516471757242,0.9415271726668195,0.9522127952304518,0.9533746082702743,0.9497362990139876,0.7067186425131851,0.9532370251471375,0.9507299549033097,0.9266834823817168,0.9455935183061988,0.948681495069938,0.9510051211495834,0.9418023389130934,0.9511427042727203,0.9520752121073147,0.9485439119468011,0.7067645035542307,0.9521363601620424,0.9439425208285561,0.9276007032026294,0.9472292287701597,0.9523503783535886,0.9539860888175495,0.9436520675686005,0.9532675991745013,0.9544905602690514,0.9512191393411297,0.7102805167010625,0.9543682641595964,0.9507758159443552,0.9293434227623634
10,0.928090626768859,0.9129071243899827,0.9079198984196918,0.9329784141845274,0.918475683448835,0.9011580767053712,0.900194287637493,0.7721327275230621,0.9009286031177811,0.9074609512445118,0.9327030458794193,0.9306836783086266,0.9193017883641591,0.9132436856517815,0.9329937124237,0.9239830495509966,0.9084094420732174,0.906099407958144,0.7792311104991815,0.9081646702464546,0.9212982085761928,0.9349059923202837,0.9305153976777272,0.9192176480487096,0.913075405020882,0.9338810102957149,0.9236770847675432,0.908241161442318,0.9057475484571724,0.7786038826931021,0.9079198984196919,0.918567472883871,0.9339116067740603,0.9295822050881943,0.9187816482322884,0.911683265256169,0.9322440987042392,0.9221319626111034,0.9073385653311303,0.9051050224119204,0.7782367249529578,0.907307968852785,0.9170682454449492,0.9323970810959659,0.9312497131580155,0.9189040341456697,0.9126929490415653,0.9346918169718665,0.9228203833738735,0.9078587054630011,0.9063441797849067,0.7817859164410177,0.9077975125063105,0.9186898587972524,0.9356709042789174
