magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
0,0.9597374847374848,0.9477106227106228,0.9439560439560439,0.9588522588522589,0.9608821733821734,0.9588446275946275,0.9503205128205127,0.9437652625152624,0.9568833943833943,0.9592414529914529
1,0.9355347839411584,0.931657983450812,0.9324777811829605,0.9278348145878026,0.9338032485442844,0.937373582592706,0.93231688630095,0.9369981612013484,0.939288997854735,0.9378945755439779
2,0.9378959258750438,0.9422158110851614,0.9407427760223475,0.9391857855932592,0.9402237792126513,0.937354032147273,0.9388423318221368,0.9398116346873044,0.9371403275785746,0.9357359832699852
3,0.935322773369282,0.9413891356965594,0.9452265694414657,0.9449661447961027,0.9476852844756274,0.940424032599038,0.9433423205367811,0.9476699653788412,0.9487729403474371,0.9523039921566224
4,0.9448233768215457,0.9430228122377355,0.9471808957045853,0.9489433127336537,0.9515449759670406,0.9496147096971084,0.9460593575951782,0.9505302510109102,0.9579156176089112,0.9559014267185474
5,0.9611029725935422,0.9668101080388207,0.972028932429958,0.9671763413294269,0.9715253616553745,0.9622474516266862,0.9668024781785998,0.9727385094305073,0.9694652993957151,0.969465299395715
6,0.9514758633268483,0.9510654790856031,0.9483371838521402,0.9467640442607004,0.945791281614786,0.9496063351167315,0.9485119771400778,0.9463460603112841,0.9419078307392995,0.9498343263618678
7,0.9687304469913166,0.951020190150625,0.9550261724174768,0.9536069101286494,0.9551787812657377,0.9716986890899934,0.954614128527172,0.9553237596715857,0.9599096555618295,0.9601080470645689
8,0.9546862601477143,0.9584630409570897,0.9528856131355674,0.9601797595068059,0.9611411218946468,0.9591039492156505,0.9600882011841544,0.9542818775560032,0.9580357687847159,0.9626747237990599
9,0.9396630653726424,0.9479338338521638,0.9441570530427882,0.9509171091985595,0.9502838308002198,0.9407770249649027,0.9488646767991211,0.9450192272477568,0.9455075383018983,0.9432948788378197
10,0.9399099717708095,0.9394293125810635,0.9393224994277867,0.9372549019607843,0.938651102464332,0.9371938658731975,0.9382314793621729,0.9374837872892348,0.9405813687342642,0.9397268635080491
11,0.9535064697265625,0.9633941650390625,0.9512100219726562,0.952880859375,0.9577484130859375,0.9565811157226562,0.9663848876953125,0.9513931274414062,0.963897705078125,0.9615325927734375
12,0.9359207153320312,0.9442596435546875,0.945159912109375,0.9384689331054688,0.937652587890625,0.939727783203125,0.9425506591796875,0.9429931640625,0.9420166015625,0.9399337768554688
13,0.9380562043015677,0.9516493413319902,0.9408648929187464,0.947940040603868,0.9473370884278978,0.9400482361740776,0.9494970310329564,0.9440857260612723,0.9507716261391218,0.952572850361008
14,0.938011126987505,0.9389763779527559,0.938094731401818,0.9467287872799682,0.9454671206639711,0.9376311069224456,0.9386039582889977,0.9371750828443742,0.9524822910649682,0.9458851427355364
